Matrix order, Jacobi Sequential, Jacobi Paralell, Seidel Sequential, Seidel Parallel, Seidel Unstable
1, 0.000710, 0.033830, 0.001050, 0.075950, 0.050520
2, 0.104130, 6.238930, 0.055500, 4.655890, 2.130300
3, 0.068830, 2.285470, 0.461430, 31.833460, 0.178720
4, 0.033650, 0.505540, 0.020850, 0.982590, 0.348210
5, 0.075960, 1.260800, 0.026040, 0.753740, 0.088790
6, 0.102240, 0.482060, 0.085810, 1.004310, 0.407830
7, 0.062610, 0.567440, 0.037410, 0.803810, 0.211670
8, 0.096500, 0.525920, 0.091700, 0.932360, 0.136260
9, 0.104240, 0.309640, 0.124290, 1.667630, 0.131860
10, 0.124970, 0.449360, 0.096710, 1.674160, 0.148020
11, 0.172440, 0.400210, 0.079360, 1.158510, 0.314700
12, 0.131330, 0.493580, 0.139470, 1.117260, 0.322340
13, 0.153750, 0.607460, 0.091770, 1.539550, 0.191390
14, 0.178180, 0.533800, 0.161410, 2.239180, 0.401690
15, 0.186330, 0.561640, 0.208740, 1.410010, 0.157220
16, 0.190460, 0.553330, 0.137300, 1.908300, 0.143360
17, 0.413840, 0.839600, 0.378070, 2.032840, 0.585800
18, 0.318460, 0.532190, 0.318330, 2.444890, 0.397370
19, 0.298320, 0.390690, 0.357270, 1.893770, 0.370870
20, 0.480550, 0.279710, 0.241900, 2.813500, 0.362480
21, 0.459680, 0.563940, 0.267090, 2.619550, 0.202890
22, 0.363340, 0.401790, 0.370390, 2.403270, 0.505470
23, 0.423850, 0.586780, 0.321530, 2.683650, 0.316330
24, 0.512850, 0.514140, 0.313140, 3.209000, 0.203100
25, 0.417890, 0.537490, 0.348910, 3.225880, 0.244170
26, 0.501190, 0.649260, 0.356190, 3.556190, 0.597110
27, 0.759830, 0.657450, 0.560970, 2.762630, 0.345570
28, 0.575340, 0.926120, 0.469760, 3.276840, 0.473480
29, 0.553660, 0.926340, 0.526310, 3.489160, 0.254930
30, 0.920230, 0.405670, 0.468040, 4.382160, 0.326840
31, 0.701410, 0.869130, 0.494140, 3.631420, 0.449700
32, 0.869760, 0.542340, 0.586390, 3.970950, 0.451950
33, 1.069320, 0.565020, 0.603510, 3.323690, 0.489420
34, 1.212090, 1.003250, 0.808400, 3.642720, 0.783120
35, 1.004060, 1.528280, 0.730960, 3.487280, 1.061260
36, 0.837260, 0.798770, 0.657780, 4.418460, 0.537720
37, 0.901780, 0.709870, 0.731820, 4.367110, 0.455330
38, 0.937800, 1.447220, 0.792380, 3.506810, 1.188160
39, 0.993690, 0.742970, 0.778740, 4.659720, 0.901270
40, 1.031680, 0.983770, 0.694650, 3.837950, 0.847770
41, 1.077400, 0.707950, 0.847020, 5.549550, 0.479980
42, 1.002650, 0.814910, 0.886360, 4.509300, 0.575260
43, 1.196170, 1.312570, 1.319730, 5.211850, 0.534570
44, 1.842670, 1.135580, 1.187340, 5.272520, 0.514490
45, 1.304630, 1.790360, 0.881730, 3.719370, 0.641090
46, 1.199510, 1.547390, 1.061230, 4.786690, 0.487510
47, 1.412550, 1.163560, 0.949560, 4.843470, 0.513820
48, 1.762390, 1.135650, 1.222760, 4.266440, 0.955330
49, 1.695510, 1.165830, 1.247900, 4.523540, 0.776850
50, 1.418230, 1.007700, 1.398510, 4.789430, 0.508760
51, 2.072980, 1.185500, 1.544630, 4.771840, 0.969290
52, 2.228130, 1.148950, 1.322510, 4.949800, 0.497350
53, 1.845420, 0.739660, 1.477590, 5.970400, 1.186730
54, 1.075660, 0.620920, 0.880950, 2.861180, 0.293290
55, 0.335000, 0.126050, 0.260730, 0.783190, 0.092080
56, 0.306180, 0.243070, 0.231230, 0.705970, 0.085910
57, 0.318510, 0.334640, 0.279890, 1.080970, 0.116170
58, 0.329940, 0.329210, 0.291220, 0.948470, 0.118130
59, 0.385840, 0.219370, 0.259080, 0.853170, 0.118130
60, 0.351220, 0.143470, 0.264360, 0.667090, 0.095050
61, 0.363710, 0.135370, 0.274430, 0.838010, 0.114010
